Bottom Cand 160: x=1189, y=1358, w=51, h=41, area=1586.0
Bottom Cand 161: x=1064, y=1358, w=52, h=41, area=1576.0
Bottom Cand 162: x=1126, y=1359, w=52, h=40, area=1577.5
Bottom Cand 163: x=1002, y=1359, w=51, h=41, area=1575.0
Bottom Cand 164: x=55, y=1398, w=877, h=262, area=84925.5
Bottom Cand 165: x=2096, y=1405, w=54, h=40, area=1555.0
Bottom Cand 166: x=2034, y=1405, w=54, h=40, area=1546.5
Bottom Cand 167: x=1972, y=1405, w=54, h=40, area=1540.5
Bottom Cand 168: x=1910, y=1405, w=54, h=40, area=1547.0
Bottom Cand 169: x=1849, y=1405, w=53, h=40, area=1540.0
Bottom Cand 170: x=1787, y=1405, w=54, h=40, area=1529.0
Bottom Cand 171: x=1726, y=1405, w=53, h=40, area=1536.0
Bottom Cand 172: x=1665, y=1405, w=52, h=40, area=1530.0
Bottom Cand 173: x=1603, y=1405, w=52, h=40, area=1525.5
Bottom Cand 174: x=1542, y=1405, w=52, h=40, area=1530.5
Bottom Cand 175: x=1480, y=1405, w=52, h=40, area=1533.5
Bottom Cand 176: x=1419, y=1405, w=51, h=41, area=1526.0
Bottom Cand 177: x=1357, y=1406, w=52, h=40, area=1529.5
Bottom Cand 178: x=1295, y=1406, w=52, h=40, area=1535.5
Bottom Cand 179: x=1234, y=1406, w=51, h=40, area=1524.0
Bottom Cand 180: x=1172, y=1406, w=51, h=40, area=1531.5
Bottom Cand 181: x=1111, y=1406, w=50, h=40, area=1520.0
Bottom Cand 182: x=1050, y=1406, w=50, h=40, area=1518.5
Bottom Cand 183: x=988, y=1406, w=51, h=40, area=1525.5
Bottom Cand 184: x=2067, y=1451, w=54, h=39, area=1494.5
Bottom Cand 185: x=1884, y=1451, w=53, h=39, area=1483.5
Bottom Cand 186: x=1824, y=1451, w=52, h=39, area=1478.0
Bottom Cand 187: x=1763, y=1451, w=52, h=39, area=1477.5
Bottom Cand 188: x=1702, y=1451, w=52, h=39, area=1476.5
Bottom Cand 189: x=1642, y=1451, w=51, h=39, area=1469.0
Bottom Cand 190: x=2006, y=1452, w=53, h=38, area=1483.0
Bottom Cand 191: x=1945, y=1452, w=53, h=38, area=1476.5
Bottom Cand 192: x=1581, y=1452, w=52, h=38, area=1464.0
Bottom Cand 193: x=1521, y=1452, w=51, h=38, area=1463.0
Bottom Cand 194: x=1460, y=1452, w=51, h=38, area=1470.5
Bottom Cand 195: x=1400, y=1452, w=50, h=38, area=1412.5
Bottom Cand 196: x=1339, y=1452, w=50, h=39, area=1467.0
Bottom Cand 197: x=1278, y=1452, w=50, h=39, area=1470.5
Bottom Cand 198: x=1217, y=1452, w=50, h=39, area=1469.0
Bottom Cand 199: x=1156, y=1452, w=50, h=39, area=1469.0
Bottom Cand 200: x=1096, y=1452, w=50, h=39, area=1461.0
Bottom Cand 201: x=1035, y=1452, w=50, h=39, area=1464.5
Bottom Cand 202: x=975, y=1452, w=49, h=39, area=1459.5
Bottom Cand 203: x=2018, y=1487, w=156, h=173, area=6881.0
Bottom Cand 204: x=2039, y=1496, w=53, h=38, area=1447.5
Bottom Cand 205: x=1979, y=1496, w=52, h=38, area=1437.0
Bottom Cand 206: x=1919, y=1496, w=52, h=38, area=1430.5
Bottom Cand 207: x=1859, y=1496, w=52, h=38, area=1433.0
Bottom Cand 208: x=1799, y=1496, w=52, h=38, area=1431.0
Bottom Cand 209: x=1739, y=1496, w=52, h=38, area=1427.5
Bottom Cand 210: x=1680, y=1496, w=51, h=38, area=1418.0
Bottom Cand 211: x=1620, y=1496, w=51, h=38, area=1417.0
Bottom Cand 212: x=1560, y=1496, w=51, h=38, area=1415.5
